date,review,rating,isEdited,title,userName
2023-12-14 13:31:40,"Maaf admin, sebagai masukan. 

Masalah: masih ada tahapan yang mana pemohon masih harus ke kantor Dukcapil utk melakukan verifikasi barcode. 

Solusi: sekiranya tahapan verifikasi barcode pada kantor dukcapil di gantikan dengan verifikasi online menggunakan vidio interaktif dengan operator dan/atau mengirimi barcode ke email dan/atau nomer tlfn dan/atau cara lainnya yang sifatnya online

Tujuan: agar mempermudah dan efektivitas  seluruh tahapan yang dilakukan oleh pemohon dalam pengajuan Identitas Kependudukan Digital tanpa melewati prinsip kehati-hatian dan rahasia data pribadi 

Harapan: semoga seluruh produk dukcapil mengenai data diri atau identitas bisa dalam satu app atau superapps dukcapil agar terujud nya goverment yang efektif dan efisien 

Terimakasi 🙏🏻",3,False,Masukan,APN41
2023-10-10 06:47:32,"Admin, mohon bantuan. saya tidak bisa buka dokumen kependudukan saya. Sudah pindah device, sudah uninstal trus instal lagi, bersihkan cache, force stop, semuanya sudah. Tapi tetap ga bisa dibuka dokumennya. Tolong bantuannya. Terima kasih",3,False,Tidak bisa buka dokumen kependudukan,usergege
2023-08-04 08:51:45,"Seriusan apanya yang online kalo tetep disuruh dateng ke dukcapil?, sia sia gw bayar pajak tiap tahun cuma buat ngempanin orang2 tolol yg kerja di dukcapil 🤣🤣🤣",1,False,Aplikasi Tolol,"Ganti Nama, jadi entaraja"
2023-08-23 03:20:45,"Katanya digital tapi masih diharuskan datang ke dukcapil untuk scan QR, seharusnya pada saat registrasi itu QRnya otomatis di kirim ke email. Mau digital elit mau QR sulit 🙄",1,False,Sulit,Nakam2323
2023-08-08 13:50:50,"Tolong yg bener lah , masa online tapi disuruh dateng ke kantor , lawak banget",1,False,Kerja setengah setengah,4swu
2023-09-27 01:27:02,"Pro’s: good security protection, you cannot print screen the data when you open the apps.👍

Con’s: with budget provided and expense capex on the IT infrastructure for data recording, public should have better facilities and services. That’s still long way to go for my great country.",5,False,Good start for digitalization.,fjemmyc
2023-10-05 07:55:47,Apa cuma aku di sini yang kalau klik dokumen malah loading dan error terus ? padahal koneksi internet lancar aja,1,False,ERROR,Ikhsan Siahaan
2023-10-04 11:09:09,"sepertinya sdg ada problem, KTP dan KK tidak bisa tampil",3,False,tampil dokumen lama,wirawan_abcd
2024-02-03 02:39:56,"Sebelom diwajibkan install ini sama dukcapil karena saya pindah domisili, gak ada yg spam aneh aneh. Bahkan orang mau nipu pun gatau nama saya. Tapi setelahnya, ada bot tau nama lengkap saya, orang spam malware ke whatsapp. Ini data rakyat jangan dijual dong! Atau kalo gak ngerasa ngejual, artinya security nya jelek, nyesel masukin nomer hp.",1,False,Data bocor?,luminouscent
2024-04-24 06:04:05,aplikasi taek di buka aja ga bisa,1,False,coook,cokksh
2024-01-15 06:05:06,Digital tapi harus scan qr ke dukcapil... konoha gk bener... pajak di naik2in cuma buat para pejabat yg butuh duit😅😅,1,False,Jangan ngelawak,jonin konoha
2024-01-06 14:42:01,"Digital ndasmu, apanya yg digital kalo harus tetap pergi ke dukcapil? Digital cuman jargon gimmick doang",1,False,"Tidak Efisien, Cuman gimick “digital”",Hypercaffium
2024-06-26 04:46:57,Cara cetak akte lewat app ini gmna kak?,4,False,Akte,LailaIsma
2023-09-19 16:09:31,"Akhirnya Rilis juga di IOS, Aplikasinya sudah bagus cuma perlu bbrpa perubahan kedepan lagi dan tambahan menu yg lbh canggih, untuk yg blg harus scan barcode mmg begitu caranya, lagian cuma scan sekali saja apa susah nya sih datang ke kantor capil😅",5,False,Bagus,Khairul Adami
2023-08-03 06:59:11,Ternyata harus datang langsung ke Disdukcapil.,1,False,Aplikasi tiada guna 👌🏻,penggunalawas22
2023-06-08 00:17:16,dupcapil bisa dan prima,5,False,dupcapil,naila mchlle
2024-06-27 14:32:00,udh dateng lgsg suruh daftar online!! daftar online tetep aja harus dateng langsung!!! ga guna!!!,1,False,kritik,maulidina nurhidayah
2024-06-27 11:33:26,"Udah masukin password log-in dengan benar, tapi dibilangnya salah terus. Tapi ga ada pilihan untuk lupa password. Yang niatnya mempermudah malah jadi ribet sendiri.

Boleh tolong diupdate aplikasinya , perkembangan jaman tapi kayak asal-asalan buatnya",1,False,Kecewa,vn_14
2024-06-27 00:11:03,ini aplikasi gimana sih? Kode QR masih diminta juga tp harus ke dukcapil? Ya ngapain ada aplikasi online kalo harus ke tempat juga hah?,2,False,Gajelas,rfdhisma
2024-06-27 00:07:08,"Duk(bukan) capil (calon pilihan?) teruntuk dukcapil klaten tolong ditingkatkan lagi sdm karyawannya,ya masak pelayanan kayak kita sebagai sebagai pemohon kayak orang ngemis aja .ONLINE KOK HARUS KEKANTOR?",2,False,DUKCAPIL???,DUKCAPIL??
2024-06-26 02:04:32,praktis👍🏻,4,False,review,catchanggg
2024-06-26 00:44:00,Easy to register,5,False,Easy,andryans
2024-06-11 02:17:29,Aplikasi bagus,5,False,KTP digital,Farhan chamid
2024-06-25 04:22:03,"Udah regis, ngantre di kantor kecamatan 15 antrian lama-lama, tinggal aktivasi, tiba-tiba diminta password yang GA DIMINTA pas registrasi. Susah-susah investasi bidang IT hasilnya sampah.",1,False,Ga usah ngerepotin orang untuk buat ginian,JeremyRgl
2024-06-24 09:42:58,Aplikasi tolol,1,False,Tolol,KLLndra
2024-06-24 04:53:31,"Masa iya sih kita harsu datang ke kantor dukcapil nya buat nyecan barcode…apa ga ada orang2 pintar tah yg kritia di tempat itu.
Kita install aplikasi ini kan maksud nya semua harus ONLINE…lah kalo ujung2nya harus datang buat registrasi dgn cara scan di tempat mah namanya boong.
Ayo lah jgn bercanda…",1,False,Yg beneng aja tong….,thamrinbht
2024-06-23 09:12:35,"Bayar pajak mahal2… hasilnya kayak gini 
#sedih sih gw",1,False,Useless,Yosh2204
