date,review,rating,isEdited,userName,title
2023-12-14 13:31:40,"Maaf admin, sebagai masukan. 

Masalah: masih ada tahapan yang mana pemohon masih harus ke kantor Dukcapil utk melakukan verifikasi barcode. 

Solusi: sekiranya tahapan verifikasi barcode pada kantor dukcapil di gantikan dengan verifikasi online menggunakan vidio interaktif dengan operator dan/atau mengirimi barcode ke email dan/atau nomer tlfn dan/atau cara lainnya yang sifatnya online

Tujuan: agar mempermudah dan efektivitas  seluruh tahapan yang dilakukan oleh pemohon dalam pengajuan Identitas Kependudukan Digital tanpa melewati prinsip kehati-hatian dan rahasia data pribadi 

Harapan: semoga seluruh produk dukcapil mengenai data diri atau identitas bisa dalam satu app atau superapps dukcapil agar terujud nya goverment yang efektif dan efisien 

Terimakasi 🙏🏻",3,False,APN41,Masukan
2023-10-10 06:47:32,"Admin, mohon bantuan. saya tidak bisa buka dokumen kependudukan saya. Sudah pindah device, sudah uninstal trus instal lagi, bersihkan cache, force stop, semuanya sudah. Tapi tetap ga bisa dibuka dokumennya. Tolong bantuannya. Terima kasih",3,False,usergege,Tidak bisa buka dokumen kependudukan
2023-08-04 08:51:45,"Seriusan apanya yang online kalo tetep disuruh dateng ke dukcapil?, sia sia gw bayar pajak tiap tahun cuma buat ngempanin orang2 tolol yg kerja di dukcapil 🤣🤣🤣",1,False,"Ganti Nama, jadi entaraja",Aplikasi Tolol
2023-08-23 03:20:45,"Katanya digital tapi masih diharuskan datang ke dukcapil untuk scan QR, seharusnya pada saat registrasi itu QRnya otomatis di kirim ke email. Mau digital elit mau QR sulit 🙄",1,False,Nakam2323,Sulit
2023-08-08 13:50:50,"Tolong yg bener lah , masa online tapi disuruh dateng ke kantor , lawak banget",1,False,4swu,Kerja setengah setengah
2023-10-05 07:55:47,Apa cuma aku di sini yang kalau klik dokumen malah loading dan error terus ? padahal koneksi internet lancar aja,1,False,Ikhsan Siahaan,ERROR
2024-10-07 02:13:57,"Fitur dokumen pada IKD di IOS masih belum bisa di buka min, masih loading terus dan akhirnya gagal menampilkan dokumen KTP dan KK",3,False,Royirw26,Dokumen
2023-09-27 01:27:02,"Pro’s: good security protection, you cannot print screen the data when you open the apps.👍

Con’s: with budget provided and expense capex on the IT infrastructure for data recording, public should have better facilities and services. That’s still long way to go for my great country.",5,False,fjemmyc,Good start for digitalization.
2024-02-03 02:39:56,"Sebelom diwajibkan install ini sama dukcapil karena saya pindah domisili, gak ada yg spam aneh aneh. Bahkan orang mau nipu pun gatau nama saya. Tapi setelahnya, ada bot tau nama lengkap saya, orang spam malware ke whatsapp. Ini data rakyat jangan dijual dong! Atau kalo gak ngerasa ngejual, artinya security nya jelek, nyesel masukin nomer hp.",1,False,luminouscent,Data bocor?
2023-10-04 11:09:09,"sepertinya sdg ada problem, KTP dan KK tidak bisa tampil",3,False,wirawan_abcd,tampil dokumen lama
2024-08-20 02:04:39,"agak laen bapakmu agak laen bapakmu agak laen kau sekeluarga, aplikasi agak laen ni",1,False,buruh ambek,jelek brou
2024-07-18 02:50:50,"Tolong verifikasi QR code dari petugas (manual/offline) diganti jadi Verifikasi via Email (online), ini aplikasi cocoknya untuk mesin anjungan mandiri untuk di kantor saja.",2,False,A3eofe,Online Rasa Offline
2024-07-15 07:35:02,"Appnya hnya di pkai buat scan QR code, sngat tdak mmbantu",1,False,Vadjar,Tdak beguna
2024-07-12 18:44:01,"Niat hati support2 apk pemerintah yang katanya KEBANYAKAN APLIKASI. Eh beneran, mending gausah bikin aplikasi soalnya baru download - masuk aplikasi udah gabisa 😂 Paling bener fotocopy emang ☺️🫶",1,False,si'akcnl,TERJADI KESALAHAN LOGIN
2024-07-12 09:55:51,"Sebagai saran, utk verfikasi qr better dibuat online. Kalo harus ke dukcapil domisili sama aja kaya ktp biasa. Maaf",1,False,Andre tarigan 12,Verifikasi kode
2024-07-11 14:48:20,"Gak ada gunanya bikin digital ktp, ujung2nya tetep diminta fotocopy ktp. Woii ini udah 2024 masi aja hidup di jaman purba",1,False,Brutalz06,Apilkasi sampah
2024-07-11 04:54:51,Terserah klean lah..,1,False,krikicik,Sukasuka kau lah
2024-04-24 06:04:05,aplikasi taek di buka aja ga bisa,1,False,cokksh,coook
2024-01-15 06:05:06,Digital tapi harus scan qr ke dukcapil... konoha gk bener... pajak di naik2in cuma buat para pejabat yg butuh duit😅😅,1,False,jonin konoha,Jangan ngelawak
2024-01-06 14:42:01,"Digital ndasmu, apanya yg digital kalo harus tetap pergi ke dukcapil? Digital cuman jargon gimmick doang",1,False,Hypercaffium,"Tidak Efisien, Cuman gimick “digital”"
