review,sentiment
aplikasi susah fungsi software mudah rumah kantor dukcapil scan barcode bolak kesini error koneksi mulu jaring normal bagus,Negatif
kecewa aplikasi buruk selesai daftar bukatiap buka salah koneksi tolong koneksi andal saran wajib masyarakat,Negatif
buka pakai wifi kalo pakai paket data pribadi alias muat tolong admin aplikasi cari wifi buka efektif efisien praktis,Negatif
aplikasi bantu buka dukcapil wajib menginstal aplikasi kalo dar pajang hape tolong aplikasi data log mudah,Negatif
login berkalikali muncul jaring stabil jaring stabilapk butuh buka jaring wifi tolong sesuai lagimana dukcapil,Negatif
digital dukcapil verifikasi barcode tugas konsep mudah ribetnya kalo mending cetak fisik sih digital mudah tingkat efisiensi segi akses waktu masyarakat,Negatif
cari data kakak susah apps reinstal berkalikali muncul data dokumen loading tolong sistem kepake appsnya layan jelek gin,Negatif
bahaya rentan bobol hp hilang data salah ribet dukcapil camat scan barcode efisien sistem akses ktp daftar ulang,Negatif
efisien efektif flexibel coba masuklogin emailnik password kayak efisien kalo ganti hp ribet capilkelurahan kalo ganti perangkat lupa pin,Negatif
tolong perhati aplikasi mudah masyarakat aplikasi pakai aplikasi buka jaring data bilang wifi kalo repot daftar kantor kalo ujung enggak bisa pakai fitur offline daftar butuh dadak tinggal scan jaring data,Negatif
aplikasi foto sinkron fitur ktp kakak pakai qr code file pdfjpg screenshot pin angka aman tampil ui sederhana,Negatif
download uninstall hapus download buka loading selaluuuuu aplikasi perintah tuh jelek banget dana hire sdm beli apk bagus bayang tinggal desa sih gaptek hapenya ngotak atik coba aplikasi wa hmmmmmmm,Negatif
buka error jaring pakai jaring mumpuni gua sistem aman aplikasi daftar dukcapil lagiverifikasi ktp min hadeh uiux hadeh tolong upgrade deh tunggu aplikasi buka tambah komen,Negatif
scan barcode dukcapil aplikasi mudah warga kota ktp digital kalo kota mudah sulit tolong dukcapil terimakasih,Negatif
aplikasi buka install loading melulu info notifikasi salah coba ulang hasil aplikasi info kedukcapil verifikasi scan barcode digital uninstall,Negatif
ui admin biar desain terimakasih semangat koding ui ux lupa aman data server aman cepat akses semnagat,Negatif
salah jaring tulis mesti pakai wifi non data selular masak mesti beli wifi wifi publik aman data scan fisik doang aplikasi aplikasi perintah rating rendah proyek manfaat,Negatif
aplikasi ampas daftar coba salah koneksi sinyal bagus banget ganti ktp situs alih apk kayak gin gampang banget apk ikd ribet letak mudah masyrakatnya,Negatif
aktifasi disdukcapil buka dokumen duduk loading muncul notifikasi salah coba waktu faktor jaring coba kantor rumah pakai wifi handal buka harap tingkat kualitas aplikasi,Negatif
aplikasi tombol download ktp ktp butuh urus kirim file ktp aplikasi pakai download ktpnya mending ktp foto,Negatif
susah print kakak uninstall install ulang eh koneksi stabil waaah jam tengah malam loh jaring bagus pagi tengah malam coba hasil buka,Negatif
wow aplikasi perintah pukau ui user interface bagus respon cepat update mudah interaksi sayang mimpi apasih harap perintah segenap jajar perintah kompeten,Negatif
parah sih jaring wilayah bagus kuota pas buka aplikasi muncul salah koneksi kalo pas darurat gunain ktp ektp sulit alas blangko,Negatif
mudah solutif bertranformasi digital sedia alternatif tata juknis mengakomodir request ktp fisik digital transformasi fisik doang buka apk sulit enggak jelas alternatif alhasil solutif sungguh sulit salut aman solutif masyarakat butuh ktp fisik baca,Negatif
alih aplikasi digital mudah sulit daftar sulit lurah scan aktivasi sulit pindai scan kartu keluarga hasil pindai tampil dokumen izin download dokumen moga,Negatif
aplikasi gunakankesalahan koneksi terusmohon tingkat gangguanya mmbantu samasekalitdk identitas ataau ktp dgitalnya lihatbukanya parahpercuma bikin identitas digital akses parahkalau akses mndingan jangn bikin aplikasi samaskalibikin lot hp ajamndingan hapus,Negatif
fitur log log out akun butuh ganti gadget ganti gadget hapus akun akun gadget dukcapil ribet dokumen duduk aplikasi akses fungsi utama aplikasi mubasir dokumen proses integrasi akses,Negatif
aplikasi jelek tampil ktp barcode lembaga barcode alas aplikasi jember cetak ktp alas blangko habis ktp indikasi teknologi,Negatif
aplikasi daftar detik menu dokumen terang dokumen integrasi coba dokumen,Negatif
sih suruh download apk ikd gilir didownload salah jaring koneksi tolong sulit masyarakat bikin ktp akte kakak pakai wifi wifi tolong sistem,Negatif
aplikasi diinstal klik daftar aplikasi gerak coba perhati massal,Negatif
aplikasi buka salah koneksi paket data wifi coba pakai tolong aplikasi moga manfaat masyarakat indonesia layan umum wilayah indonesia,Negatif
aplikasi loading salah koneksi coba coba kiamat diupdate ngaruh pakai paket data pakai wifi,Negatif
aplikasi situs perintah lot situs aplikasi perintah layan masyarakat anggar perintah daftar hasil aju layan cek hasil aju layan eh aplikasi buka alas salah koneksi tonton lancar pakai wifi buka provider wifinya,Negatif
aplikasi bergunapercuma bikin gunakankesalahan koneksi teruuuuuuuuuusssssssss kesal dounload hapus salah koneksi tahi taikkkkkkkkk,Negatif
parah lowding mulu hp samsungmana ktp ssdownload masuk kembang ktp kakak surat dukung copydownload enakdan lowding bikin lurah app bukamasukan bintang app jalan bagus ganti nilai gin,Negatif
aplikasi jaring lokal trobel daftar ikd gagal perintah benah tangan jaring target wilayah wujud kendala jaring lokal maintenance terimakasih,Negatif
aplikasi buka pakai wifitidak rumah sedia wifigilran layan publik arah onlinedah capekkalo bikin kemajuanseenggaknya nyediakan tenaga bagus,Negatif
aplikasi jelek sungguh muas sesuai ekspektasi perintah semangat imbau masyarakat aplikasi ehhhh repot buka koneksi gagal padal signal bagus sih bagus lamalama aplikasi sampah faedah,Negatif
waktu urus ktp aplikasi bisah pakai minggu tulis layar hp salah koneksi paket internet gb bantu wifi jaring full bisah buka,Negatif
install salah koneksi pakai wifi pakai data seluler aplikasi dukung,Negatif
salah jaring wifidata batas kemarin bagus jelek lagh instal ulang hapus cace masukpaling parah idk bikin akun ewalet,Negatif
memudahkanmalah menyulitkanudh ku cobakesalahan koneksi muluudh pakai jaring dataudah pakai wifiudh uninstalistal lagisama hasilnyatolonglah perbaikijgn aneh deh kebijakannyakalo kayak ginimana bolak dukcapildi dukcapil nih kerjajauhijin potong uang makan,Negatif
adakan aplikasi mudah sulit qr code disdukcapil bohong kalo aplikasi vervikasi email praktis,Negatif
aplikasi jelek buka buka omong salah koneksi jaring mah bagus aplikasi buka koneksi jelek aplikasi enggak ada kembang tahun loh kasih bintang kecewa kasih rating kalo login aplikasi,Negatif
buka notifikasi kesalaham koneksi koneksi internet buka aplikasi lancar silah luncur aplikasi susah terima kasih,Negatif
aplikasi tulis salah jaring jaring wifi parah aplikasi mudah sulit,Negatif
susah aplikasi bug sempurna perintah kalo buka area dukcapil pakai wifi lancar wkkwkwkw nikmat fasilitas negeri gin hemat budget,Negatif
hadeh gua apk mudah eh tau bayar pajak mtor ktp aslifisik apk digital coba contoh saran gua sih perintah men sinkronisasi,Negatif
aktifasi aplikasi ikd bantu rekan dispendukcapil paket data internet provider kartu sim provider warna kuning sambung provider indonesia,Negatif
apk buka alas koneksi stabil apk data digital kemarin buka uninstall yuk apk kalo buka,Negatif
aplikasi sayang kansaya buka dokumen baca dokumen integrasikankalo butuh sulit cetak tulis mencetakdan tau aplikasi inipadahal pakai wifi kuota bisajadi tolong kasih solusi apakarna aplikasi maksimalterima kasih,Negatif
kasih bintang mending hapus scan qr code disdukcapil efisien sibuk mending qr code diiintegrasikan kirim email hemat waktu efisien thanks,Negatif
komplain keti malas ngetiknya etik feedbacknya inti aplikasi ribet,Negatif
registrasi penasaran ken aktivasi tampilanya kalo kendala kait identitas susah proses menu dokumen ktp kepala keluarga,Negatif
log app buruk mudah mempersulitt butuh app buka tolong tolong aplikasi bug buka,Negatif
apl rusak apl niat apl ngestuck tampil doang jaring stabil pakai jaring wifi kencang hdhhh apas,Negatif
aplikasi ubah aplikasi perintah uiuxnya buruk keman tahun tahun dukcapil habis anggar giring data warga masyarakat aplikasi selesai ktp elektronik muncul transparansi aman data integrasi data urus perintah parah,Negatif
tolong system aplikasi nyabiar loading buka aplikasi coba login kagak loading ledak hp,Negatif
tolong servernya gedein susah banget negara server sulit aplikasi tunjang cepat efisien lambat ecek ktp digital susah sulit,Negatif
inovasi bagus aplikasi bagus segi integrasi layan online aktivitas aju lurah hubung status duduk integrasi aplikasi proses jalan apalikasi wadah data kakak ktp aplikasi maksimal,Negatif
